tsne_dimension_1,tsne_dimension_2
-69.97997,-12.028388
-20.311983,-10.871384
68.04211,0.49918574
-123.685844,-62.556477
2.0717268,-68.75157
7.2703156,-54.553215
-128.96341,88.48035
-73.67769,129.53319
-17.266354,62.98482
1.1641792,53.13689
-25.945913,22.091898
-23.946962,62.187344
63.30373,-86.53015
-16.551434,117.60795
-57.433716,-50.177677
0.064703315,106.68169
-116.04425,75.14998
-68.23016,-71.081635
2.2540343,-7.7939467
-40.90863,88.561844
-35.33924,61.825127
-32.042637,57.154243
-37.28307,67.41103
21.734442,69.61665
-83.55307,-49.877796
-23.128645,-95.00786
-80.58371,31.203152
-82.31963,-102.83329
-3.0643604,89.538124
-73.67769,129.53319
24.005445,0.017556475
-142.67465,18.498104
-34.71777,137.82928
15.930373,75.11628
12.162894,82.981705
-18.893185,-47.854347
-90.73007,-10.972694
-124.71001,-21.3755
-13.339768,122.87708
-24.976463,-60.042755
-36.588005,-70.55118
-104.16538,65.97081
18.211678,80.58682
-140.69482,-27.556284
50.632984,85.086815
-74.871605,-61.261295
3.8041527,47.869324
0.68030715,47.720116
-30.929937,71.76682
9.960332,56.590332
-28.197145,7.621054
-40.251255,40.58682
-28.35469,121.47508
-2.4559731,-119.4214
-38.233456,25.376125
-24.82794,83.352776
13.338079,35.680244
-60.320545,-77.90903
6.9125276,57.75102
12.683122,42.374935
29.33299,-76.39727
-116.04425,75.14998
128.67735,49.990547
11.236841,-30.718801
-66.63915,26.130768
-59.160645,96.78158
-66.04792,-90.55741
-35.338955,61.82572
-58.09955,80.73649
-59.35824,130.3227
-43.865917,69.3821
0.064703315,106.68169
-28.416676,62.393288
-1.1122432,65.613655
17.585638,-129.68706
-116.15283,-95.297356
-42.062283,-1.7793235
-83.55307,-49.877796
-53.921734,79.69539
-7.658797,58.753075
-27.664001,-29.157232
103.963806,66.37494
37.28339,-22.324251
-33.547844,-44.282093
-40.12616,75.52205
-121.90924,43.781784
-143.05511,56.349277
-78.23147,-7.4920897
-23.299067,65.306915
53.053955,-127.169075
-94.23357,21.541777
36.890923,52.481033
-69.21705,-49.669144
-32.22969,-116.846954
-50.31408,85.732956
-24.976463,-60.042755
97.15468,-111.19334
128.67735,49.990547
-32.524574,-84.19021
7.6087904,62.60029
54.239033,85.40141
11.413868,83.99533
-34.62277,66.31703
-33.547844,-44.282093
-20.311983,-10.871384
-72.79057,70.569626
-25.945913,22.091898
-127.65745,3.2100048
-77.81258,-117.63217
-57.700363,-49.599724
2.2540343,-7.7939467
-143.05511,56.349277
-100.741325,-119.3765
-83.24409,20.80733
41.084015,109.99379
-41.78743,12.943133
-47.68117,-43.079544
-4.418171,126.86564
-25.945913,22.091898
-34.336407,59.44772
-31.574461,65.83357
11.760802,113.23046
-34.71777,137.82928
11.760802,113.23046
9.88132,9.486223
9.88132,9.486223
9.88132,9.486223
-62.975494,85.75299
29.724165,-21.915974
-1.3628786,98.521255
42.825485,54.063286
-69.72006,46.20048
9.347389,134.86185
-67.26343,-2.0971663
-69.720634,46.2008
-49.269497,45.15208
34.081787,74.148605
-115.974785,57.858948
9.88132,9.486223
-127.65745,3.2100048
-68.23016,-71.081635
-23.879368,58.767235
-55.371002,52.652428
-72.508865,-32.91005
-50.17528,48.405422
-15.222706,-85.69221
-103.1817,2.950936
-77.81258,-117.63217
-140.69482,-27.556284
9.88132,9.486223
-77.81258,-117.63217
-2.1446393,82.783195
82.782646,86.968925
-93.20636,77.74911
-142.67465,18.498104
-4.963371,126.93538
-105.34602,90.40029
-20.311983,-10.871384
-62.919952,-141.71155
-91.35747,97.88462
-42.062283,-1.7793235
-59.35824,130.3227
-94.23357,21.541777
-41.78743,12.943133
7.756613,60.612007
-73.67769,129.53319
9.347389,134.86185
62.025402,-24.168966
-25.191574,83.096245
-55.453583,-60.919884
-149.44331,-3.1556103
-31.661386,93.09299
43.13637,32.66469
-42.062283,-1.7793235
-30.71373,34.259262
86.82367,-35.716984
24.005445,0.017556475
-67.647934,-0.32581064
-93.082245,65.57841
-20.32013,-120.40971
-3.8103104,86.5207
-116.15283,-95.297356
-116.15283,-95.297356
2.0717268,-68.75157
-28.167799,-28.89588
0.064703315,106.68169
-18.893185,-47.854347
-77.214226,67.15602
-37.28307,67.41103
-114.29297,24.909004
-68.23016,-71.081635
-64.74318,41.17262
-84.88327,-85.90982
-100.741325,-119.3765
-74.86715,-81.1246
-60.320545,-77.90903
-116.04425,75.14998
-59.232944,129.94528
-28.197145,7.621054
47.8362,-51.349907
-9.78359,-29.907944
-68.23016,-71.081635
-104.240746,30.559153
-55.453583,-60.919884
-66.47643,1.863356
11.236841,-30.718801
-123.685844,-62.556477
7.2703156,-54.553215
-149.44331,-3.1556103
4.946498,101.17829
-38.233456,25.376125
61.91683,54.32883
-88.93977,8.297384
-3.9767468,-46.41008
-60.320545,-77.90903
-88.59181,38.912296
-70.985725,29.24713
-52.10996,75.4844
-5.4577093,60.42327
-140.69482,-27.556284
9.88132,9.486223
-105.470375,43.797153
-59.160645,96.78158
-105.470375,43.797153
-60.320545,-77.90903
24.005445,0.017556475
-24.556786,-60.436325
-140.69482,-27.556284
-68.31295,-71.747505
24.005445,0.017556475
-80.05894,-17.031116
-25.945913,22.091898
-58.197506,-115.75724
-20.311983,-10.871384
-67.85913,116.21238
-71.80261,-134.07082
-116.15283,-95.297356
11.350283,113.69551
-91.35747,97.88462
-59.35824,130.3227
-110.352234,116.74332
-42.355038,-1.243744
2.2540343,-7.7939467
9.88132,9.486223
-24.976463,-60.042755
-58.647392,12.786461
61.55252,-30.067
5.157477,58.485962
-1.921693,82.64284
-74.28316,-81.51704
-140.69482,-27.556284
13.065554,44.38797
-30.71373,34.259262
7.0207286,73.25379
-73.67769,129.53319
47.24958,128.74153
-80.05894,-17.031116
2.2540343,-7.7939467
-111.18689,7.2411346
24.005445,0.017556475
-121.90924,43.781784
-21.668798,135.74211
-40.1237,75.52205
-70.11357,-11.316751
-34.62277,66.31703
-116.04425,75.14998
34.081787,74.148605
-36.588005,-70.55118
-10.0927,11.50264
32.57641,96.31415
-39.056755,-17.085234
-4.4573474,93.590004
-36.588005,-70.55118
-100.178894,38.69229
-18.893185,-47.854347
2.0717268,-68.75157
7.2703156,-54.553215
-39.056755,-17.085234
-136.00856,72.04219
-67.26343,-2.0971663
34.11405,103.966934
